% 12/01/2013 18:27:08
335/14:26:59;61.5;12009.6;19522.6;FALSE;ENABLED;IN USE;6600;0.44;0.012;35.1;29.3;IN USE;6601;0.70;0.007;38.9;30.4;IN USE;6601;0.52;0.002;28.5;26.9;IN USE;6601;0.79;0.008;38.4;38.2
335/14:27:07;61.5;12008.6;19522.6;FALSE;ENABLED;IN USE;6600;0.44;0.013;35.1;29.3;IN USE;6601;0.70;0.003;38.9;30.4;IN USE;6600;0.52;0.002;28.5;26.9;IN USE;6601;0.79;0.007;38.4;38.2
335/14:27:09;61.5;12009.1;19522.6;FALSE;ENABLED;IN USE;6600;0.44;0.013;35.1;29.3;IN USE;6601;0.70;0.003;38.9;30.4;IN USE;6600;0.52;0.002;28.5;26.9;IN USE;6601;0.79;0.007;38.4;38.2
335/14:27:10;61.5;12008.7;19522.6;FALSE;ENABLED;IN USE;6600;0.44;0.013;35.1;29.3;IN USE;6601;0.70;0.003;38.9;30.4;IN USE;6600;0.52;0.002;28.5;26.9;IN USE;6601;0.79;0.007;38.4;38.2
335/14:27:11;61.5;12008.0;19522.6;FALSE;ENABLED;IN USE;6600;0.44;0.013;35.1;29.3;IN USE;6601;0.70;0.003;38.9;30.4;IN USE;6600;0.52;0.002;28.5;26.9;IN USE;6601;0.79;0.007;38.4;38.2
335/14:27:12;61.5;12008.0;19522.6;FALSE;ENABLED;IN USE;6600;0.44;0.013;35.1;29.3;IN USE;6601;0.70;0.003;38.9;30.4;IN USE;6600;0.52;0.002;28.5;26.9;IN USE;6601;0.79;0.007;38.4;38.2
335/14:27:13;61.5;12007.4;19522.6;FALSE;ENABLED;IN USE;6601;0.44;0.012;35.1;29.3;IN USE;6601;0.69;0.006;38.9;30.4;IN USE;6600;0.52;0.002;28.5;26.9;IN USE;6601;0.79;0.007;38.4;38.2
335/14:27:14;61.5;12007.3;19522.6;FALSE;ENABLED;IN USE;6601;0.44;0.012;35.1;29.3;IN USE;6601;0.69;0.006;38.9;30.4;IN USE;6600;0.52;0.002;28.5;26.9;IN USE;6601;0.79;0.007;38.4;38.2
335/14:27:15;61.5;12006.7;19522.6;FALSE;ENABLED;IN USE;6601;0.44;0.012;35.1;29.3;IN USE;6601;0.69;0.006;38.9;30.4;IN USE;6600;0.52;0.002;28.5;26.9;IN USE;6601;0.78;0.005;38.4;38.2
335/14:27:16;61.5;12007.9;19523.4;FALSE;ENABLED;IN USE;6601;0.44;0.012;35.1;29.3;IN USE;6601;0.69;0.006;38.9;30.4;IN USE;6600;0.52;0.002;28.5;26.9;IN USE;6601;0.78;0.005;38.4;38.2
335/14:27:17;61.5;12006.8;19523.4;FALSE;ENABLED;IN USE;6601;0.44;0.012;35.1;29.3;IN USE;6601;0.69;0.006;38.9;30.4;IN USE;6600;0.52;0.002;28.5;26.9;IN USE;6601;0.78;0.005;38.4;38.2
335/14:27:18;61.5;12007.4;19523.4;FALSE;ENABLED;IN USE;6601;0.44;0.012;35.1;29.3;IN USE;6601;0.69;0.006;38.9;30.4;IN USE;6600;0.52;0.002;28.5;26.9;IN USE;6601;0.78;0.005;38.4;38.2
335/14:27:19;61.5;12006.5;19523.4;FALSE;ENABLED;IN USE;6601;0.44;0.012;35.1;29.3;IN USE;6601;0.69;0.006;38.9;30.4;IN USE;6600;0.52;0.002;28.5;26.9;IN USE;6601;0.78;0.005;38.4;38.2
335/14:27:20;61.5;12006.5;19523.4;FALSE;ENABLED;IN USE;6601;0.44;0.012;35.1;29.3;IN USE;6601;0.69;0.006;38.9;30.4;IN USE;6600;0.52;0.002;28.5;26.9;IN USE;6601;0.78;0.005;38.4;38.2
335/14:27:21;61.5;12005.9;19523.4;FALSE;ENABLED;IN USE;6601;0.44;0.012;35.1;29.3;IN USE;6601;0.69;0.006;38.9;30.4;IN USE;6600;0.52;0.002;28.5;26.9;IN USE;6601;0.78;0.005;38.4;38.2
335/14:27:22;61.5;12005.9;19523.4;FALSE;ENABLED;IN USE;6601;0.44;0.012;35.1;29.3;IN USE;6601;0.69;0.006;38.9;30.4;IN USE;6600;0.52;0.002;28.5;26.9;IN USE;6601;0.78;0.005;38.4;38.2
335/14:27:24;61.5;12005.0;19522.6;FALSE;ENABLED;IN USE;6601;0.44;0.013;35.1;29.3;IN USE;6601;0.69;0.004;38.9;30.4;IN USE;6600;0.52;0.001;28.5;26.9;IN USE;6601;0.78;0.005;38.4;38.2
335/14:27:26;61.5;12004.1;19522.6;FALSE;ENABLED;IN USE;6601;0.44;0.013;35.1;29.3;IN USE;6600;0.69;0.004;38.9;30.4;IN USE;6601;0.52;0.001;28.5;26.9;IN USE;6601;0.79;0.003;38.4;38.2
335/14:27:28;61.5;12003.5;19522.6;FALSE;ENABLED;IN USE;6601;0.44;0.013;35.1;29.3;IN USE;6600;0.69;0.004;38.9;30.4;IN USE;6601;0.52;0.001;28.5;26.9;IN USE;6601;0.79;0.003;38.4;38.2
335/14:27:30;61.5;12002.6;19522.6;FALSE;ENABLED;IN USE;6601;0.44;0.013;35.1;29.3;IN USE;6600;0.69;0.004;38.9;30.4;IN USE;6601;0.52;0.001;28.5;26.9;IN USE;6601;0.79;0.003;38.4;38.2
335/14:27:32;61.5;12002.7;19522.6;FALSE;ENABLED;IN USE;6601;0.44;0.013;35.1;29.3;IN USE;6600;0.69;0.004;38.9;30.4;IN USE;6601;0.52;0.001;28.5;26.9;IN USE;6601;0.79;0.003;38.4;38.2
335/14:27:35;61.5;12001.4;19522.6;FALSE;ENABLED;IN USE;6601;0.43;0.012;35.1;29.3;IN USE;6600;0.69;0.005;38.9;30.4;IN USE;6601;0.52;0.001;28.5;26.9;IN USE;6601;0.77;0.007;38.4;38.2
335/14:27:37;61.5;12000.9;19522.6;FALSE;ENABLED;IN USE;6601;0.43;0.012;35.1;29.3;IN USE;6600;0.69;0.005;38.9;30.4;IN USE;6601;0.52;0.001;28.5;26.9;IN USE;6601;0.77;0.007;38.3;38.2
335/14:27:39;61.5;12000.2;19523.4;FALSE;ENABLED;IN USE;6601;0.43;0.012;35.1;29.3;IN USE;6600;0.69;0.005;38.9;30.4;IN USE;6601;0.52;0.001;28.5;26.9;IN USE;6601;0.77;0.007;38.3;38.2
335/14:27:41;61.5;11999.3;19523.4;FALSE;ENABLED;IN USE;6601;0.43;0.012;35.1;29.3;IN USE;6600;0.69;0.005;38.9;30.4;IN USE;6601;0.52;0.001;28.5;26.9;IN USE;6601;0.77;0.007;38.3;38.2
335/14:27:43;61.5;11997.6;19523.4;FALSE;ENABLED;IN USE;6601;0.43;0.012;35.1;29.3;IN USE;6600;0.71;0.004;38.9;30.4;IN USE;6601;0.52;0.002;28.5;26.9;IN USE;6601;0.77;0.007;38.3;38.2
