335/18:20:48;	IN USE;	6601;	0.42;	0.013;	34.9;	29
335/18:20:49;	IN USE;	6601;	0.42;	0.013;	34.9;	29
335/18:20:50;	IN USE;	6601;	0.42;	0.013;	34.9;	29
335/18:20:51;	IN USE;	6601;	0.42;	0.013;	34.9;	29
335/18:20:52;	IN USE;	6601;	0.42;	0.013;	34.9;	29
335/18:20:53;	IN USE;	6601;	0.42;	0.013;	34.9;	29
335/18:20:54;	IN USE;	6601;	0.42;	0.013;	34.9;	29
335/18:20:55;	IN USE;	6601;	0.42;	0.013;	34.9;	29
335/18:20:56;	IN USE;	6601;	0.42;	0.013;	34.9;	29
335/18:20:57;	IN USE;	6601;	0.42;	0.013;	34.9;	29
335/18:20:58;	IN USE;	6601;	0.42;	0.013;	34.9;	29
335/18:20:59;	IN USE;	6601;	0.42;	0.013;	34.9;	29
335/18:21:00;	IN USE;	6601;	0.42;	0.013;	34.9;	29
335/18:21:01;	IN USE;	6601;	0.42;	0.013;	34.9;	29
335/18:21:03;	IN USE;	6601;	0.42;	0.013;	34.9;	29
335/18:21:05;	IN USE;	6601;	0.42;	0.013;	34.9;	29
335/18:21:06;	IN USE;	6601;	0.42;	0.013;	34.9;	29
335/18:21:07;	IN USE;	6601;	0.42;	0.013;	34.9;	29
335/18:21:08;	IN USE;	6601;	0.42;	0.013;	34.9;	29
335/18:21:09;	IN USE;	6601;	0.42;	0.013;	34.9;	29
335/18:21:10;	IN USE;	6601;	0.42;	0.013;	34.9;	29
335/18:21:11;	IN USE;	6601;	0.42;	0.013;	34.9;	29
335/18:21:12;	IN USE;	6601;	0.42;	0.013;	34.9;	29
335/18:21:13;	IN USE;	6601;	0.43;	0.013;	34.9;	29
335/18:21:14;	IN USE;	6601;	0.43;	0.013;	34.9;	29
335/18:21:15;	IN USE;	6601;	0.43;	0.013;	34.9;	29
335/18:21:16;	IN USE;	6601;	0.43;	0.013;	34.9;	29
335/18:21:17;	IN USE;	6601;	0.43;	0.013;	34.9;	29
335/18:21:18;	IN USE;	6601;	0.43;	0.013;	34.9;	29
335/18:21:19;	IN USE;	6601;	0.43;	0.013;	34.9;	29
335/18:21:20;	IN USE;	6601;	0.43;	0.013;	34.9;	29
335/18:21:21;	IN USE;	6601;	0.43;	0.013;	34.9;	29
335/18:21:22;	IN USE;	6601;	0.43;	0.013;	34.9;	29
335/18:21:23;	IN USE;	6601;	0.43;	0.013;	34.9;	29
335/18:21:24;	IN USE;	6601;	0.43;	0.013;	34.9;	29
335/18:21:25;	IN USE;	6601;	0.43;	0.013;	34.9;	29
335/18:21:26;	IN USE;	6601;	0.43;	0.013;	34.9;	29
335/18:21:27;	IN USE;	6600;	0.43;	0.013;	34.9;	29
335/18:21:28;	IN USE;	6600;	0.43;	0.013;	34.9;	29
335/18:21:29;	IN USE;	6600;	0.43;	0.013;	34.9;	29
335/18:21:30;	IN USE;	6600;	0.43;	0.013;	34.9;	29
335/18:21:31;	IN USE;	6600;	0.43;	0.013;	34.9;	29
335/18:21:32;	IN USE;	6600;	0.43;	0.013;	34.9;	29
335/18:21:33;	IN USE;	6600;	0.43;	0.012;	34.9;	29
335/18:21:34;	IN USE;	6600;	0.43;	0.012;	34.9;	29
335/18:21:35;	IN USE;	6600;	0.43;	0.012;	34.9;	29
335/18:21:36;	IN USE;	6600;	0.43;	0.012;	34.9;	29
335/18:21:37;	IN USE;	6600;	0.43;	0.012;	34.9;	29
335/18:21:38;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:21:39;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:21:40;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:21:41;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:22:06;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:22:07;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:22:08;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:22:10;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:22:11;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:22:12;	IN USE;	6601;	0.42;	0.012;	34.8;	29
335/18:22:14;	IN USE;	6601;	0.42;	0.012;	34.8;	29
335/18:22:15;	IN USE;	6601;	0.42;	0.012;	34.8;	29
335/18:22:16;	IN USE;	6601;	0.42;	0.012;	34.8;	29
335/18:22:17;	IN USE;	6601;	0.42;	0.012;	34.8;	29
335/18:22:18;	IN USE;	6601;	0.42;	0.012;	34.8;	29
335/18:22:20;	IN USE;	6601;	0.42;	0.012;	34.8;	29
335/18:22:21;	IN USE;	6601;	0.42;	0.012;	34.8;	29
335/18:22:22;	IN USE;	6601;	0.42;	0.012;	34.8;	29
335/18:22:23;	IN USE;	6601;	0.43;	0.012;	34.8;	29
335/18:22:24;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:22:25;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:22:26;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:22:27;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:22:29;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:22:30;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:22:31;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:22:32;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:22:33;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:22:34;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:22:36;	IN USE;	6600;	0.43;	0.012;	34.9;	29
335/18:22:37;	IN USE;	6600;	0.43;	0.012;	34.9;	29
335/18:22:38;	IN USE;	6600;	0.43;	0.012;	34.9;	29
335/18:22:39;	IN USE;	6600;	0.43;	0.012;	34.9;	29
335/18:22:40;	IN USE;	6600;	0.43;	0.012;	34.9;	29
335/18:22:41;	IN USE;	6600;	0.43;	0.012;	34.9;	29
335/18:22:42;	IN USE;	6600;	0.43;	0.012;	34.9;	29
335/18:22:43;	IN USE;	6600;	0.42;	0.012;	34.9;	29
335/18:22:44;	IN USE;	6600;	0.42;	0.012;	34.9;	29
335/18:22:45;	IN USE;	6600;	0.42;	0.012;	34.9;	29
335/18:22:46;	IN USE;	6600;	0.42;	0.012;	34.9;	29
335/18:22:47;	IN USE;	6600;	0.42;	0.012;	34.9;	29
335/18:22:48;	IN USE;	6600;	0.42;	0.012;	34.9;	29
335/18:22:49;	IN USE;	6600;	0.42;	0.012;	34.9;	29
335/18:22:50;	IN USE;	6600;	0.42;	0.012;	34.9;	29
335/18:22:51;	IN USE;	6600;	0.42;	0.012;	34.9;	29
335/18:22:52;	IN USE;	6600;	0.42;	0.012;	34.9;	29
335/18:22:53;	IN USE;	6600;	0.43;	0.012;	34.9;	29
335/18:22:54;	IN USE;	6600;	0.43;	0.012;	34.9;	29
335/18:22:55;	IN USE;	6600;	0.43;	0.012;	34.9;	29
335/18:22:56;	IN USE;	6600;	0.43;	0.012;	34.9;	29
335/18:22:57;	IN USE;	6600;	0.43;	0.012;	34.9;	29
335/18:22:58;	IN USE;	6600;	0.43;	0.012;	34.9;	29
335/18:22:59;	IN USE;	6600;	0.43;	0.012;	34.9;	29
335/18:23:00;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:23:01;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:23:02;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:23:03;	IN USE;	6601;	0.43;	0.013;	34.9;	29
335/18:23:04;	IN USE;	6601;	0.43;	0.013;	34.9;	29
335/18:23:05;	IN USE;	6601;	0.43;	0.013;	34.9;	29
335/18:23:06;	IN USE;	6601;	0.43;	0.013;	34.9;	29
335/18:23:07;	IN USE;	6601;	0.43;	0.013;	34.9;	29
335/18:23:08;	IN USE;	6601;	0.43;	0.013;	34.9;	29
335/18:23:09;	IN USE;	6601;	0.43;	0.013;	34.9;	29
335/18:23:10;	IN USE;	6601;	0.43;	0.013;	34.9;	29
335/18:23:11;	IN USE;	6601;	0.43;	0.013;	34.8;	29
335/18:23:12;	IN USE;	6601;	0.43;	0.013;	34.8;	29
335/18:23:13;	IN USE;	6601;	0.43;	0.012;	34.8;	29
335/18:23:14;	IN USE;	6601;	0.43;	0.012;	34.8;	29
335/18:23:16;	IN USE;	6601;	0.43;	0.012;	34.8;	29
335/18:23:17;	IN USE;	6601;	0.43;	0.012;	34.8;	29
335/18:23:18;	IN USE;	6601;	0.43;	0.012;	34.8;	29
335/18:23:20;	IN USE;	6601;	0.43;	0.012;	34.8;	29
335/18:23:21;	IN USE;	6601;	0.43;	0.012;	34.8;	29
335/18:23:22;	IN USE;	6601;	0.43;	0.012;	34.8;	29
335/18:23:23;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:23:24;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:23:25;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:23:26;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:23:27;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:23:28;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:23:29;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:23:30;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:23:31;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:23:32;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:23:33;	IN USE;	6601;	0.42;	0.012;	34.9;	29
335/18:23:34;	IN USE;	6601;	0.42;	0.012;	34.8;	29
335/18:23:35;	IN USE;	6601;	0.42;	0.012;	34.8;	29
335/18:23:36;	IN USE;	6601;	0.42;	0.012;	34.8;	29
335/18:23:37;	IN USE;	6601;	0.42;	0.012;	34.8;	29
335/18:23:38;	IN USE;	6601;	0.42;	0.012;	34.8;	29
335/18:23:39;	IN USE;	6601;	0.42;	0.012;	34.8;	29
335/18:23:40;	IN USE;	6601;	0.42;	0.012;	34.8;	29
335/18:23:41;	IN USE;	6601;	0.42;	0.012;	34.8;	29
335/18:23:42;	IN USE;	6601;	0.42;	0.012;	34.8;	29
335/18:23:43;	IN USE;	6601;	0.43;	0.012;	34.8;	29
335/18:23:44;	IN USE;	6601;	0.43;	0.012;	34.8;	29
335/18:23:45;	IN USE;	6601;	0.43;	0.012;	34.8;	29
335/18:23:46;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:23:47;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:23:48;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:23:49;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:23:50;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:23:51;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:23:52;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:23:53;	IN USE;	6601;	0.42;	0.012;	34.9;	29
335/18:23:54;	IN USE;	6601;	0.42;	0.012;	34.9;	29
335/18:23:55;	IN USE;	6601;	0.42;	0.012;	34.9;	29
335/18:23:56;	IN USE;	6601;	0.42;	0.012;	34.9;	29
335/18:23:57;	IN USE;	6601;	0.42;	0.012;	34.9;	29
335/18:23:58;	IN USE;	6600;	0.42;	0.012;	34.8;	29
335/18:23:59;	IN USE;	6600;	0.42;	0.012;	34.8;	29
335/18:24:00;	IN USE;	6600;	0.42;	0.012;	34.8;	29
335/18:24:01;	IN USE;	6600;	0.42;	0.012;	34.8;	29
335/18:24:02;	IN USE;	6600;	0.42;	0.012;	34.8;	29
335/18:24:03;	IN USE;	6600;	0.42;	0.012;	34.8;	29
335/18:24:04;	IN USE;	6600;	0.42;	0.012;	34.8;	29
335/18:24:05;	IN USE;	6600;	0.42;	0.012;	34.8;	29
335/18:24:06;	IN USE;	6600;	0.42;	0.012;	34.8;	29
335/18:24:07;	IN USE;	6600;	0.42;	0.012;	34.8;	29
335/18:24:08;	IN USE;	6600;	0.42;	0.012;	34.8;	29
335/18:24:09;	IN USE;	6601;	0.42;	0.012;	34.8;	29
335/18:24:10;	IN USE;	6601;	0.42;	0.012;	34.8;	29
335/18:24:11;	IN USE;	6601;	0.42;	0.012;	34.8;	29
335/18:24:12;	IN USE;	6601;	0.42;	0.012;	34.8;	29
335/18:24:13;	IN USE;	6601;	0.43;	0.012;	34.8;	29
335/18:24:14;	IN USE;	6601;	0.43;	0.012;	34.8;	29
335/18:24:15;	IN USE;	6601;	0.43;	0.012;	34.8;	29
335/18:24:16;	IN USE;	6601;	0.43;	0.012;	34.8;	29
335/18:24:17;	IN USE;	6601;	0.43;	0.012;	34.8;	29
335/18:24:18;	IN USE;	6601;	0.43;	0.012;	34.8;	29
335/18:24:19;	IN USE;	6601;	0.43;	0.012;	34.8;	29
335/18:24:20;	IN USE;	6601;	0.43;	0.012;	34.8;	29
335/18:24:21;	IN USE;	6601;	0.43;	0.012;	34.8;	29
335/18:24:22;	IN USE;	6601;	0.43;	0.012;	34.8;	29
335/18:24:23;	IN USE;	6601;	0.43;	0.012;	34.8;	29
335/18:24:24;	IN USE;	6601;	0.43;	0.012;	34.8;	29
335/18:24:25;	IN USE;	6601;	0.43;	0.012;	34.8;	29
335/18:24:26;	IN USE;	6601;	0.43;	0.012;	34.8;	29
335/18:24:27;	IN USE;	6601;	0.43;	0.012;	34.8;	29
335/18:24:28;	IN USE;	6601;	0.43;	0.012;	34.8;	29
335/18:24:29;	IN USE;	6601;	0.43;	0.012;	34.8;	29
335/18:24:30;	IN USE;	6601;	0.43;	0.012;	34.8;	29
335/18:24:31;	IN USE;	6601;	0.43;	0.012;	34.8;	29
335/18:24:32;	IN USE;	6601;	0.43;	0.012;	34.8;	29
335/18:24:33;	IN USE;	6601;	0.44;	0.012;	34.9;	29
335/18:24:34;	IN USE;	6601;	0.44;	0.012;	34.9;	29
335/18:24:35;	IN USE;	6601;	0.44;	0.012;	34.9;	29
335/18:24:36;	IN USE;	6601;	0.44;	0.012;	34.9;	29
335/18:24:37;	IN USE;	6601;	0.44;	0.012;	34.9;	29
335/18:24:38;	IN USE;	6601;	0.44;	0.012;	34.9;	29
335/18:24:39;	IN USE;	6601;	0.44;	0.012;	34.9;	29
335/18:24:40;	IN USE;	6601;	0.44;	0.012;	34.9;	29
335/18:24:41;	IN USE;	6601;	0.44;	0.012;	34.9;	29
335/18:24:42;	IN USE;	6601;	0.44;	0.012;	34.9;	29
335/18:24:43;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:24:44;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:24:45;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:24:46;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:24:47;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:24:48;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:24:49;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:24:50;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:24:51;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:24:52;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:24:53;	IN USE;	6601;	0.42;	0.012;	34.9;	29
335/18:24:54;	IN USE;	6601;	0.42;	0.012;	34.9;	29
335/18:24:55;	IN USE;	6601;	0.42;	0.012;	34.9;	29
335/18:24:56;	IN USE;	6601;	0.42;	0.012;	34.8;	29
335/18:24:57;	IN USE;	6601;	0.42;	0.012;	34.8;	29
335/18:24:58;	IN USE;	6601;	0.42;	0.012;	34.8;	29
335/18:24:59;	IN USE;	6601;	0.42;	0.012;	34.8;	29
335/18:25:00;	IN USE;	6601;	0.42;	0.012;	34.8;	29
335/18:25:01;	IN USE;	6601;	0.42;	0.012;	34.8;	29
335/18:25:02;	IN USE;	6601;	0.42;	0.012;	34.8;	29
335/18:25:03;	IN USE;	6601;	0.43;	0.012;	34.8;	29
335/18:25:04;	IN USE;	6601;	0.43;	0.012;	34.8;	29
335/18:25:05;	IN USE;	6601;	0.43;	0.012;	34.8;	29
335/18:25:06;	IN USE;	6601;	0.43;	0.012;	34.8;	29
335/18:25:07;	IN USE;	6601;	0.43;	0.012;	34.8;	29
335/18:25:08;	IN USE;	6600;	0.43;	0.012;	34.8;	29
335/18:25:09;	IN USE;	6600;	0.43;	0.012;	34.8;	29
335/18:25:10;	IN USE;	6600;	0.43;	0.012;	34.8;	29
335/18:25:11;	IN USE;	6600;	0.43;	0.012;	34.8;	29
335/18:25:12;	IN USE;	6600;	0.43;	0.012;	34.8;	29
335/18:25:13;	IN USE;	6600;	0.43;	0.012;	34.8;	29
335/18:25:14;	IN USE;	6600;	0.43;	0.012;	34.8;	29
335/18:25:16;	IN USE;	6600;	0.43;	0.012;	34.8;	29
335/18:25:17;	IN USE;	6600;	0.43;	0.012;	34.8;	29
335/18:25:18;	IN USE;	6600;	0.43;	0.012;	34.8;	29
335/18:25:19;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:25:20;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:25:21;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:25:22;	IN USE;	6601;	0.43;	0.012;	34.9;	29
335/18:25:23;	IN USE;	6601;	0.42;	0.012;	34.9;	29
335/18:25:24;	IN USE;	6601;	0.42;	0.012;	34.9;	29
335/18:25:25;	IN USE;	6601;	0.42;	0.012;	34.9;	29
335/18:25:26;	IN USE;	6601;	0.42;	0.012;	34.9;	29
335/18:25:27;	IN USE;	6601;	0.42;	0.012;	34.9;	29
335/18:25:28;	IN USE;	6601;	0.42;	0.012;	34.9;	29
335/18:25:29;	IN USE;	6601;	0.42;	0.012;	34.9;	29
335/18:25:30;	IN USE;	6601;	0.42;	0.012;	34.9;	29
335/18:25:31;	IN USE;	6601;	0.42;	0.012;	34.9;	29
335/18:25:32;	IN USE;	6601;	0.42;	0.012;	34.9;	29
335/18:25:33;	IN USE;	6601;	0.42;	0.012;	34.9;	29
335/18:25:35;	IN USE;	6601;	0.42;	0.012;	34.9;	29
